cell_type	cell_number	Relative_frequency	sample_id	timepoint	Patient
B cell	5395	0.466090712742981	SCAF3045	2	7252
Basophil	1	8.63930885529158e-05	SCAF3045	2	7252
CD4 T	1551	0.133995680345572	SCAF3045	2	7252
CD8 T	1164	0.100561555075594	SCAF3045	2	7252
Dendritic cell	83	0.00717062634989201	SCAF3045	2	7252
Erythroblast	362	0.0312742980561555	SCAF3045	2	7252
Monocyte	866	0.0748164146868251	SCAF3045	2	7252
Neutrophil	1924	0.16622030237581	SCAF3045	2	7252
NK cell	229	0.0197840172786177	SCAF3045	2	7252
B cell	1828	0.312318469161114	SCAF3046	2	7264
CD4 T	1058	0.180762002391936	SCAF3046	2	7264
CD8 T	638	0.109003929608748	SCAF3046	2	7264
Dendritic cell	14	0.0023919357594396	SCAF3046	2	7264
Erythroblast	491	0.0838886041346318	SCAF3046	2	7264
Monocyte	243	0.0415171706817017	SCAF3046	2	7264
Neutrophil	1434	0.245002562788314	SCAF3046	2	7264
NK cell	147	0.0251153254741158	SCAF3046	2	7264
B cell	2028	0.425603357817419	SCAF3047	3	7255
Basophil	1	0.000209863588667366	SCAF3047	3	7255
CD4 T	909	0.190766002098636	SCAF3047	3	7255
CD8 T	574	0.120461699895068	SCAF3047	3	7255
Dendritic cell	33	0.00692549842602309	SCAF3047	3	7255
Erythroblast	5	0.00104931794333683	SCAF3047	3	7255
Monocyte	385	0.080797481636936	SCAF3047	3	7255
Neutrophil	701	0.147114375655824	SCAF3047	3	7255
NK cell	129	0.0270724029380902	SCAF3047	3	7255
B cell	1832	0.315698776494916	SCAF3048	1	7265
Basophil	6	0.00103394795795278	SCAF3048	1	7265
CD4 T	667	0.114940547992418	SCAF3048	1	7265
CD8 T	397	0.0684128898845425	SCAF3048	1	7265
Dendritic cell	45	0.00775460968464587	SCAF3048	1	7265
Erythroblast	4	0.000689298638635189	SCAF3048	1	7265
Monocyte	705	0.121488885059452	SCAF3048	1	7265
Neutrophil	1979	0.34103050146476	SCAF3048	1	7265
NK cell	168	0.0289505428226779	SCAF3048	1	7265
B cell	442	0.232264844981608	SCAF3403	1	7258
Basophil	9	0.0047293746715712	SCAF3403	1	7258
CD4 T	58	0.0304781923279033	SCAF3403	1	7258
CD8 T	49	0.0257488176563321	SCAF3403	1	7258
Dendritic cell	3	0.00157645822385707	SCAF3403	1	7258
Monocyte	402	0.211245401996847	SCAF3403	1	7258
Neutrophil	819	0.430373095112979	SCAF3403	1	7258
NK cell	121	0.0635838150289017	SCAF3403	1	7258
B cell	247	0.126149131767109	SCAF3404	1	7259
Basophil	4	0.00204290091930541	SCAF3404	1	7259
CD4 T	77	0.0393258426966292	SCAF3404	1	7259
CD8 T	78	0.0398365679264556	SCAF3404	1	7259
Dendritic cell	7	0.00357507660878447	SCAF3404	1	7259
Erythroblast	1	0.000510725229826353	SCAF3404	1	7259
Monocyte	489	0.249744637385087	SCAF3404	1	7259
Neutrophil	931	0.475485188968335	SCAF3404	1	7259
NK cell	124	0.0633299284984678	SCAF3404	1	7259
B cell	585	0.139651468130819	SCAF3405	2	7249
Basophil	69	0.0164717116256863	SCAF3405	2	7249
CD4 T	185	0.0441632847935068	SCAF3405	2	7249
CD8 T	118	0.028169014084507	SCAF3405	2	7249
Dendritic cell	24	0.00572929100023872	SCAF3405	2	7249
Erythroblast	8	0.00190976366674624	SCAF3405	2	7249
Monocyte	729	0.174027214132251	SCAF3405	2	7249
Neutrophil	2419	0.577464788732394	SCAF3405	2	7249
NK cell	52	0.0124134638338506	SCAF3405	2	7249
B cell	467	0.123577666049219	SCAF3406	2	7254
Basophil	41	0.0108494310664197	SCAF3406	2	7254
CD4 T	93	0.0246096851018788	SCAF3406	2	7254
CD8 T	86	0.0227573432124901	SCAF3406	2	7254
Dendritic cell	14	0.00370468377877745	SCAF3406	2	7254
Erythroblast	13	0.00344006350886478	SCAF3406	2	7254
Monocyte	576	0.152421275469701	SCAF3406	2	7254
Neutrophil	2459	0.650701243715269	SCAF3406	2	7254
NK cell	30	0.00793860809738026	SCAF3406	2	7254
B cell	640	0.205128205128205	SCAF3461	4	7265
Basophil	3	0.000961538461538462	SCAF3461	4	7265
CD4 T	482	0.154487179487179	SCAF3461	4	7265
CD8 T	499	0.159935897435897	SCAF3461	4	7265
Dendritic cell	49	0.0157051282051282	SCAF3461	4	7265
Erythroblast	90	0.0288461538461538	SCAF3461	4	7265
Monocyte	648	0.207692307692308	SCAF3461	4	7265
Neutrophil	614	0.196794871794872	SCAF3461	4	7265
NK cell	95	0.0304487179487179	SCAF3461	4	7265
B cell	998	0.253621346886912	SCAF3462	3	7261
CD4 T	541	0.137484116899619	SCAF3462	3	7261
CD8 T	556	0.141296060991105	SCAF3462	3	7261
Dendritic cell	37	0.00940279542566709	SCAF3462	3	7261
Erythroblast	79	0.0200762388818297	SCAF3462	3	7261
Monocyte	704	0.178907242693774	SCAF3462	3	7261
Neutrophil	933	0.23710292249047	SCAF3462	3	7261
NK cell	87	0.0221092757306226	SCAF3462	3	7261
B cell	1521	0.548108108108108	SCAF3463	4	7251
Basophil	2	0.000720720720720721	SCAF3463	4	7251
CD4 T	369	0.132972972972973	SCAF3463	4	7251
CD8 T	309	0.111351351351351	SCAF3463	4	7251
Dendritic cell	24	0.00864864864864865	SCAF3463	4	7251
Erythroblast	63	0.0227027027027027	SCAF3463	4	7251
Monocyte	236	0.0850450450450451	SCAF3463	4	7251
Neutrophil	176	0.0634234234234234	SCAF3463	4	7251
NK cell	75	0.027027027027027	SCAF3463	4	7251
B cell	967	0.221687299403943	SCAF3464	3	7254
Basophil	1	0.000229252636405319	SCAF3464	3	7254
